"condition","Time","Sample","Value"
"2018-10-30_PC3_WT-TG",0.36,"R2_R1",0.85
"2018-10-30_PC3_WT-TG",0.36,"R3_R1",0.62
"2018-10-30_PC3_WT-TG",0.36,"R4_R1",0.46
"2018-10-30_PC3_WT-TG",0.36,"R5_R1",0.45
"2018-10-30_PC3_WT-TG",0.36,"R6_R1",0.51
"2018-10-30_PC3_WT-TG",0.36,"R7_R1",0.82
"2018-10-30_PC3_WT-TG",0.36,"R8_R1",0.69
"2018-10-30_PC3_WT-TG",0.36,"R9_R1",0.56
"2018-10-30_PC3_WT-TG",0.36,"R10_R1",0.44
"2018-10-30_PC3_WT-TG",0.36,"R11_R1",0.44
"2018-10-30_PC3_WT-TG",0.36,"R12_R1",0.87
"2018-10-30_PC3_WT-TG",0.36,"R13_R1",0.76
"2018-10-30_PC3_WT-TG",0.36,"R14_R1",0.46
"2018-10-30_PC3_WT-TG",0.36,"R15_R1",0.52
"2018-10-30_PC3_WT-TG",0.36,"R16_R1",0.46
"2018-10-30_PC3_WT-TG",0.36,"R17_R1",0.45
"2018-10-30_PC3_WT-TG",0.36,"R18_R1",0.83
"2018-10-30_PC3_WT-TG",0.36,"R19_R1",0.46
"2018-10-30_PC3_WT-TG",0.36,"R20_R1",0.5
"2018-10-30_PC3_WT-TG",0.36,"R21_R1",0.53
"2018-10-30_PC3_WT-TG",0.36,"R22_R1",0.49
"2018-10-30_PC3_WT-TG",0.36,"R23_R1",0.49
"2018-10-30_PC3_WT-TG",0.36,"R24_R1",0.49
"2018-10-30_PC3_WT-TG",0.36,"R25_R1",0.48
"2018-10-30_PC3_WT-TG",0.36,"R26_R1",0.6
"2018-10-30_PC3_WT-TG",0.36,"R27_R1",0.54
"2018-10-30_PC3_WT-TG",0.36,"R28_R1",0.83
"2018-10-30_PC3_WT-TG",0.36,"R29_R1",0.86
"2018-10-30_PC3_WT-TG",0.36,"R30_R1",0.64
"2018-10-30_PC3_WT-TG",0.36,"R31_R1",0.5
"2018-10-30_PC3_WT-TG",0.36,"R32_R1",0.5
"2018-10-30_PC3_WT-TG",0.36,"R33_R1",0.65
"2018-10-30_PC3_WT-TG",0.36,"R34_R1",0.5
"2018-10-30_PC3_WT-TG",0.36,"R35_R1",0.63
"2018-10-30_PC3_WT-TG",0.36,"R36_R1",0.49
"2018-10-30_PC3_WT-TG",0.36,"R37_R1",0.81
"2018-10-30_PC3_WT-TG",0.36,"R38_R1",0.61
"2018-10-30_PC3_WT-TG",0.36,"R39_R1",0.79
"2018-10-30_PC3_WT-TG",5.36,"R2_R1",0.55
"2018-10-30_PC3_WT-TG",5.36,"R3_R1",0.44
"2018-10-30_PC3_WT-TG",5.36,"R4_R1",0.45
