"Time","condition","n","mean","median","sd","sem","mean_CI_lo","mean_CI_hi"
0.36,"2018-10-30_PC3_WT-TG",38,0.59421052631579,0.525,0.144944193901175,0.0235130531193014,0.546568555302658,0.641852497328921
0.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.607391304347826,0.55,0.290646602543936,0.0349897391937322,0.5375703668679,0.677212241827752
5.36,"2018-10-30_PC3_WT-TG",38,0.466578947368421,0.45,0.0456944207245098,0.00741261386767694,0.451559565018389,0.481598329718453
5.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.580869565217391,0.54,0.173982243265993,0.0209450007773523,0.539074466897411,0.622664663537372
10.36,"2018-10-30_PC3_WT-TG",38,0.524210526315789,0.48,0.0962999699404227,0.0156219179785851,0.492557513849521,0.555863538782058
10.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.578550724637681,0.55,0.160177065281251,0.0192830526486584,0.540071992174157,0.617029457101205
15.36,"2018-10-30_PC3_WT-TG",38,0.562631578947368,0.5,0.123522275275885,0.0200379590365593,0.522030817373006,0.603232340521731
15.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.572463768115942,0.52,0.191782703301399,0.0230879243440339,0.52639253239622,0.618535003835664
20.36,"2018-10-30_PC3_WT-TG",38,0.584473684210526,0.525,0.138811506813728,0.0225181999046254,0.538847477282791,0.630099891138261
20.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.591594202898551,0.53,0.199761793352849,0.0240484939067259,0.543606180459999,0.639582225337102
25.36,"2018-10-30_PC3_WT-TG",38,0.451315789473684,0.45,0.0230359358079735,0.00373692224384648,0.443744065788277,0.458887513159092
25.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.618405797101449,0.56,0.208359299319609,0.0250835119969442,0.568352428220399,0.668459165982499
30.36,"2018-10-30_PC3_WT-TG",38,0.454210526315789,0.45,0.0223765778785171,0.00362996026349623,0.446855528188798,0.461565524442781
30.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.616666666666667,0.53,0.22950500870266,0.0276291562601266,0.561533543747964,0.67179978958537
35.36,"2018-10-30_PC3_WT-TG",38,0.526578947368421,0.52,0.0469200767141532,0.00761144152413433,0.511156701919433,0.542001192817409
35.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.63536231884058,0.56,0.217090247634649,0.0261345946580981,0.583211547164832,0.687513090516327
40.36,"2018-10-30_PC3_WT-TG",38,0.464210526315789,0.46,0.0243434411997407,0.0039490276266351,0.456209036302408,0.472212016329171
40.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.623333333333333,0.56,0.176757283456445,0.0212790763580272,0.580871597571367,0.6657950690953
45.36,"2018-10-30_PC3_WT-TG",38,0.455526315789474,0.46,0.022624713636659,0.00367021319881537,0.448089757468324,0.462962874110623
45.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.623478260869565,0.56,0.16644930412588,0.0200381414727267,0.583492772117143,0.663463749621987
50.36,"2018-10-30_PC3_WT-TG",38,0.491578947368421,0.49,0.0317529582183893,0.00515101000729284,0.481142009714657,0.502015885022185
50.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.629565217391304,0.57,0.159562220784841,0.0192090340694429,0.591234186702954,0.667896248079655
55.36,"2018-10-30_PC3_WT-TG",38,0.464210526315789,0.46,0.0247835580792358,0.00402042401229043,0.456064373483905,0.472356679147674
55.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.621739130434783,0.56,0.157246121449775,0.0189302084751597,0.583964487557112,0.659513773312454
60.36,"2018-10-30_PC3_WT-TG",38,0.452105263157895,0.45,0.0219530081343103,0.003561248177643,0.444889488941378,0.459321037374411
60.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.61695652173913,0.56,0.158729369644448,0.0191087705744133,0.578825563740068,0.655087479738193
65.36,"2018-10-30_PC3_WT-TG",38,0.446578947368421,0.44,0.0217201259004705,0.00352346969071341,0.439439719637386,0.453718175099456
65.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.633768115942029,0.54,0.261866049330543,0.0315249677428575,0.570861022246829,0.696675209637229
70.36,"2018-10-30_PC3_WT-TG",38,0.467368421052632,0.465,0.0235594946174304,0.00382185469796212,0.459624607868828,0.475112234236435
70.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.628985507246377,0.56,0.179567658292128,0.0216174057301117,0.585848645733825,0.672122368758928
75.36,"2018-10-30_PC3_WT-TG",38,0.454210526315789,0.45,0.0235534560438038,0.0038208751119668,0.446468697961747,0.461952354669832
75.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.602028985507246,0.55,0.13907868816043,0.0167431065202431,0.568618636630481,0.635439334384012
80.36,"2018-10-30_PC3_WT-TG",38,0.456315789473684,0.455,0.0218621050186475,0.00354650174503497,0.449129894367775,0.463501684579594
80.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.585217391304348,0.54,0.128367678445804,0.0154536524783378,0.554380107906711,0.616054674701985
85.36,"2018-10-30_PC3_WT-TG",38,0.469736842105263,0.47,0.0258359525431565,0.00419114493781778,0.461244775820794,0.478228908389732
85.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.597826086956522,0.55,0.128611013676414,0.0154829465976606,0.566930348053903,0.628721825859141
90.36,"2018-10-30_PC3_WT-TG",38,0.453947368421053,0.45,0.022605843980635,0.00366715213639891,0.4465170124015,0.461377724440605
90.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.591739130434783,0.55,0.12438030534637,0.0149736291661912,0.561859718642896,0.621618542226669
95.36,"2018-10-30_PC3_WT-TG",38,0.457105263157895,0.45,0.0234702681080556,0.00380738024680879,0.449390777997925,0.464819748317865
95.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.607101449275362,0.57,0.125171663882227,0.015068897538627,0.577031932406132,0.637170966144592
100.36,"2018-10-30_PC3_WT-TG",38,0.487894736842105,0.49,0.0269291256706997,0.0043684810361098,0.479043353491854,0.496746120192357
100.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.63,0.59,0.121558506852607,0.0146339245472834,0.600798458221007,0.659201541778993
105.36,"2018-10-30_PC3_WT-TG",38,0.481052631578947,0.48,0.0267914340570558,0.00434614450686671,0.472246506335899,0.489858756821996
105.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.615072463768116,0.57,0.164715647926303,0.0198294337921832,0.575503444707969,0.654641482828263
110.36,"2018-10-30_PC3_WT-TG",38,0.451315789473684,0.45,0.0231529640425255,0.00375590673036794,0.443705599564772,0.458925979382596
110.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.641594202898551,0.59,0.243338442530066,0.0292945059925444,0.583137926328843,0.700050479468258
115.36,"2018-10-30_PC3_WT-TG",38,0.471578947368421,0.47,0.0263578611064188,0.00427580968665051,0.462915334007983,0.480242560728859
115.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.60695652173913,0.58,0.142605011336601,0.0171676259440625,0.572699057541345,0.641213985936916
120.36,"2018-10-30_PC3_WT-TG",38,0.474736842105263,0.47,0.0251199115708186,0.00407498775369728,0.466480132631786,0.482993551578741
120.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.626376811594203,0.61,0.106342551586465,0.0128021387920539,0.600830541378806,0.651923081809599
125.36,"2018-10-30_PC3_WT-TG",38,0.462368421052632,0.46,0.0243215187255077,0.00394547133171031,0.454374136777223,0.47036270532804
125.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.632898550724638,0.62,0.104994417908698,0.0126398425691824,0.60767613757967,0.658120963869606
130.36,"2018-10-30_PC3_WT-TG",38,0.496315789473684,0.49,0.0306171699427924,0.00496676081912186,0.486252176136311,0.506379402811057
130.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.655217391304348,0.64,0.142277780246664,0.0171282319501443,0.621038536597511,0.689396246011185
135.36,"2018-10-30_PC3_WT-TG",38,0.493947368421053,0.49,0.030272588053918,0.00491086225541273,0.483997016332161,0.503897720509944
135.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.672753623188406,0.64,0.205597293827829,0.0247510056095887,0.623363760472826,0.722143485903986
140.36,"2018-10-30_PC3_WT-TG",38,0.450263157894737,0.45,0.0218702367299269,0.00354782088279494,0.44307458996184,0.457451725827633
